Description,Category
YouTube Premium subscription #2,Entertainment
Paid for bike servicing #25,Services
Ordered premium pet food online #10,PetCare
Purchased antiseptic and bandages #5,Health
Lunch at cafe - sandwich and juice #21,Food
Airport shuttle bus ticket #23 at store #7,Transport
Bought greeting cards and gifts #24,Gifts
Bought board game for family #16 at store #14,Entertainment
Bought vitamins and supplements #20 - online,Health
Google Cloud storage renewal #17 at store #6,CloudServices
Pharmacy - fever medicine purchase #12,Health
Taxi from airport to home #5 at store #13,Transport
Purchased light bulbs and batteries #25,Household
Paid tailoring charges for kurta #25 at store #7 - online,Fashion
SaaS analytics tool subscription #9,CloudServices
Bought rice and pulses #19,Groceries
Bought drawing pencils and erasers #2,Stationery
Paid plumber for home repair #6,Household
Fuel refill at Indian Oil #1,Transport
Birthday gift - watch #6,Gifts
Gift voucher redeemed #19 - online,Gifts
Outlet shopping - 2 shirts #11,Fashion
Purchased gift basket from store #17,Gifts
Domino's pizza order for dinner #1,Food
Auto rickshaw fare #13,Transport
New kitchen utensils bought #10,Household
Dinner at local restaurant #17 at store #9,Food
Meal prep subscription payment #2 at store #4 - online,Food
Amazon AWS monthly bill #15,CloudServices
Bought pet bed and blanket #1 at store #19,PetCare
Reliance Fresh fruits and milk #24 at store #7,Groceries
Bought board game for family #18 at store #17,Entertainment
Paid tailoring charges for kurta #10,Fashion
Nike sneakers online #21,Fashion
Purchased flea treatment for pet #24,PetCare
Vaccination charge #16,Health
SaaS analytics tool subscription #7,CloudServices
Purchased pen set for office #3 at store #5,Stationery
Concert ticket purchase #5,Entertainment
Myntra order - summer dress #9,Fashion
File folders and labels bought #6 at store #14,Stationery
Online order - jacket from AJIO #24,Fashion
Bought pet toys and treats #21,PetCare
Bed sheets and pillow covers purchase #3,Household
Corporate gift purchase #5,Gifts
Hospital registration fee #21,Health
Subscription to magazine service #4,Entertainment
Bought sunglasses from Ray-Ban store #16,Fashion
Spencer's essentials shopping #21,Groceries
Grocery ready-meal from store #8 at store #1,Food
Bought pet toys and treats #19 at store #13,PetCare
Bought index cards and binders #7,Stationery
Stand-up comedy show ticket #17,Entertainment
Ordered desserts online #16,Food
Dinner at local restaurant #9 at store #6,Food
Purchased stapler and staples #14,Stationery
Ride-hailing surge fare #11 at store #7,Transport
Purchased flea treatment for pet #20,PetCare
Bought index cards and binders #19,Stationery
Ordered desserts online #12 - online,Food
Purchased cooking oil and spices #1 at store #16,Groceries
McDonald's combo meal #15 at store #15,Food
Ordered desserts online #10 at store #17,Food
Purchased mop and broom #24 - online,Household
Streaming service annual plan #7,Entertainment
Gift voucher redeemed #8 at store #3,Gifts
Outlet shopping - 2 shirts #15,Fashion
Dog leash and collar purchase #12 at store #14,PetCare
Swiggy order - burger and fries #3,Food
Paid for vehicle servicing commute #16,Transport
Bought training pads for puppy #22 - online,PetCare
Corporate gift purchase #13,Gifts
Purchased stapler and staples #15,Stationery
Cab share to work #12 at store #14 - online,Transport
Purchased pet shampoo and care items #4 - online,PetCare
Doctor consultation fee #4 - online,Health
Zomato delivery - sushi #25 at store #14,Food
Bought drawing pencils and erasers #9,Stationery
Bought drawing pencils and erasers #24,Stationery
DigitalOcean droplet payment #2 at store #2,CloudServices
Annual health checkup booking #25 at store #11,Health
Ride-hailing surge fare #15,Transport
Cooking utensils set purchase #15,Household
Seasonal fruits from market #14 - online,Groceries
Museum entry fees #1,Entertainment
File folders and labels bought #21,Stationery
Bought office desk organizer #18 at store #20,Stationery
Home cleaning service payment #17 at store #20 - online,Services
GitHub Copilot subscription #10 - online,CloudServices
Frozen foods purchase #17 at store #10,Groceries
Diagnostic blood test payment #23,Health
Bought personalized mug as gift #14 at store #3,Gifts
Bus pass monthly payment #8 - online,Transport
Bought storage containers #2 - online,Household
Paid for subscription box service #7,Services
Bought scarf and cap #18 at store #19,Fashion
DigitalOcean droplet payment #16 - online,CloudServices
Paid for photocopying services #23 at store #9,Services
Bus pass monthly payment #7,Transport
Walmart grocery items #23,Groceries
Notion team plan payment #14 at store #9,CloudServices
Bought drawing pencils and erasers #20,Stationery
Dinner at local restaurant #4,Food
Bought beverages and juices #5,Food
DigitalOcean droplet payment #19,CloudServices
Purchased antiseptic and bandages #2 at store #13,Health
Pet grooming session paid #15,PetCare
Purchased formal shirt from Pantaloons #19 at store #8,Fashion
Stationery purchase - notebook and pens #13 - online,Stationery
Bought office desk organizer #1,Stationery
Nike sneakers online #8,Fashion
Returned faulty shirt and refunded #1 at store #19,Fashion
Streaming service annual plan #9 at store #18,Entertainment
Paid for handyman repair service #12 at store #12,Services
Bought pet bed and blanket #23 - online,PetCare
Bought trash bags and organizers #17 at store #2,Household
Home cleaning service payment #22,Services
Purchased curtains for living room #16,Household
Supermarket household groceries #22 at store #2,Groceries
Bulk grain purchase at wholesale #12 at store #17,Groceries
Subscription to magazine service #3,Entertainment
Ordered desserts online #22,Food
Bulk grain purchase at wholesale #18,Groceries
Doctor consultation fee #3 - online,Health
Bought scarf and cap #12 at store #13,Fashion
Paid for resume writing service #8 at store #2,Services
Zomato delivery - sushi #7,Food
Purchased glucose test strips #13 at store #13,Health
Amazon AWS monthly bill #11,CloudServices
Purchased pet shampoo and care items #14,PetCare
Pet dental chew purchase #3,PetCare
Supermarket household groceries #15 at store #1,Groceries
Bought vitamins and supplements #11 at store #10 - online,Health
OTC cold medicine purchase #18,Health
Google Cloud storage renewal #3,CloudServices
Seasonal fruits from market #3 - online,Groceries
Pet vaccination charges #11 at store #6,PetCare
Garden maintenance service charge #4 - online,Services
Purchased gift basket from store #21 - online,Gifts
Office stationery order #22,Stationery
Ordered highlighters and clips #8,Stationery
Paid podcast subscription #14,Entertainment
Auto rickshaw fare #21,Transport
Bought return gift packs #4,Gifts
Museum entry fees #11 at store #5 - online,Entertainment
Online game purchase #6,Entertainment
Bought detergent and soap #22,Household
Amazon AWS monthly bill #25,CloudServices
Medical insurance premium payment #15,Health
Bought wedding gift for cousin #7,Gifts
Cloudflare subscription renewal #21,CloudServices
Sketchbook and markers purchase #23 at store #16 - online,Stationery
Purchased curtains for living room #18 at store #7,Household
Bought drawing pencils and erasers #17,Stationery
Dog leash and collar purchase #16 at store #1,PetCare
Laundry service bill paid #14,Services
Bought rice and pulses #7 at store #15,Groceries
Weekly grocery basket purchase #8 at store #12,Groceries
Paid for mobile screen repair #6 at store #6,Services
Weekly grocery basket purchase #25,Groceries
Bed sheets and pillow covers purchase #21,Household
Birthday gift - watch #23,Gifts
Paid dry cleaning for jacket #7,Fashion
Hospital registration fee #8,Health
Notion team plan payment #5 - online,CloudServices
Small home repair parts purchased #8,Household
Bought return gift packs #18 at store #1,Gifts
Paid for office lunch buffet #20,Food
Purchased light bulbs and batteries #20,Household
Bought detergent and soap #5,Household
Courier service charges #5 at store #4,Services
Vaccination charge #9,Health
Outlet shopping - 2 shirts #20,Fashion
Bought training pads for puppy #6,PetCare
Eye checkup and glasses consultation #6 at store #1,Health
Surprise present - toys #20,Gifts
Bought refill pads and envelopes #12,Stationery
